floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,41,Link,a0:04:60:c4:40:b3,-81.0,3,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,41,Plainsboro-Public-Library,8a:15:14:53:49:40,-86.0,48,80,5GHz,[ESS][Unknown]
Second,41,CP1300-938B59,f8:a2:6d:93:8b:59,-86.0,2,20,2.4GHz,[ESS][Unknown]
Second,41,ASUS17,38:d5:47:bd:b9:a1,-90.0,9,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPA2 Personal]
Second,41,[Hidden],7e:67:0e:a4:12:bc,-90.0,48,80,5GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPA2 Personal]
Second,41,Verizon_44LJJS,78:67:0e:a4:12:bc,-91.0,48,80,5GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,42,Plainsboro-Public-Library,8a:15:04:51:e6:20,-47.0,1,20,2.4GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,8a:15:04:53:33:90,-51.0,6,20,2.4GHz,[ESS][Unknown]
Second,42,[Hidden],8a:15:04:53:33:9f,-51.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,42,Plainsboro-Public-Library,8a:15:14:51:e6:20,-54.0,149,20,5GHz,[ESS][Unknown]
Second,42,[Hidden],8a:15:04:53:3c:3f,-55.0,11,20,2.4GHz,[WEP][ESS][WEP]
Second,42,[Hidden],8a:15:04:52:23:cf,-55.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,42,Plainsboro-Public-Library,8a:15:04:53:3c:30,-56.0,11,20,2.4GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,8a:15:04:52:23:c0,-56.0,6,20,2.4GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,8a:15:04:53:49:70,-58.0,6,20,2.4GHz,[ESS][Unknown]
Second,42,[Hidden],8a:15:14:53:49:7f,-61.0,157,40,5GHz,[WEP][ESS][WEP]
Second,42,Plainsboro-Public-Library,8a:15:14:52:23:c0,-64.0,153,20,5GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,8a:15:14:53:49:70,-64.0,157,40,5GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,8a:15:14:53:33:90,-66.0,36,80,5GHz,[ESS][Unknown]
Second,42,[Hidden],8a:15:14:53:33:9f,-66.0,36,80,5GHz,[WEP][ESS][WEP]
Second,42,Plainsboro-Public-Library,8a:15:04:53:49:40,-68.0,6,20,2.4GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,8a:15:14:53:3c:30,-70.0,108,80,5GHz,[ESS][Unknown]
Second,42,[Hidden],8a:15:14:53:3c:3f,-70.0,108,80,5GHz,[WEP][ESS][WEP]
Second,42,Plainsboro-Public-Library,8a:15:14:53:49:40,-72.0,48,80,5GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-73.0,6,20,2.4GHz,[ESS][Unknown]
Second,42,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-79.0,108,80,5GHz,[ESS][Unknown]
Second,42,Verizon_44LJJS,78:67:0e:a4:12:bb,-79.0,11,40,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,42,CP1300-938B59,f8:a2:6d:93:8b:59,-80.0,2,20,2.4GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:04:53:33:90,-42.0,6,20,2.4GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:04:51:e6:2f,-47.0,1,20,2.4GHz,[WEP][ESS][WEP]
Second,43,[Hidden],8a:15:04:53:33:9f,-49.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:04:51:e6:20,-57.0,1,20,2.4GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:04:52:23:c0,-60.0,6,20,2.4GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:14:53:33:90,-62.0,36,80,5GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:14:53:33:9f,-64.0,36,80,5GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:04:53:49:70,-66.0,6,20,2.4GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:14:51:e6:20,-66.0,149,20,5GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:04:53:49:40,-66.0,6,20,2.4GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:04:53:49:4f,-67.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,43,[Hidden],8a:15:04:52:23:cf,-67.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,43,[Hidden],8a:15:14:52:23:cf,-68.0,153,20,5GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:14:52:23:c0,-68.0,153,20,5GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:04:53:3c:30,-70.0,11,20,2.4GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:14:53:49:7f,-71.0,157,40,5GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:14:53:49:70,-74.0,157,40,5GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:14:53:3c:3f,-75.0,108,80,5GHz,[WEP][ESS][WEP]
Second,43,[Hidden],e2:55:7d:bc:13:6f,-75.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:04:52:1c:80,-76.0,11,20,2.4GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:14:53:3c:30,-76.0,108,80,5GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:04:53:34:af,-77.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:14:53:49:40,-78.0,48,80,5GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:14:53:49:4f,-78.0,48,80,5GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-78.0,6,20,2.4GHz,[ESS][Unknown]
Second,43,CP1300-938B59,f8:a2:6d:93:8b:59,-81.0,2,20,2.4GHz,[ESS][Unknown]
Second,43,Plainsboro-Public-Library,8a:15:04:53:34:a0,-83.0,6,20,2.4GHz,[ESS][Unknown]
Second,43,[Hidden],8a:15:14:52:1c:8f,-84.0,149,80,5GHz,[WEP][ESS][WEP]
Second,43,Plainsboro-Public-Library,8a:15:14:52:1c:80,-87.0,149,80,5GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:53:33:90,-43.0,6,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:14:53:33:90,-55.0,36,80,5GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:52:23:c0,-56.0,6,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:51:e6:20,-59.0,1,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:53:49:70,-65.0,6,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:53:3c:30,-67.0,11,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:14:51:e6:20,-68.0,149,20,5GHz,[ESS][Unknown]
Second,44,[Hidden],8a:15:14:52:23:cf,-69.0,153,20,5GHz,[WEP][ESS][WEP]
